postcode,lat,long
BT342EL,54.166521,-6.331895
BT342FB,54.173308,-6.33542
BT342FQ,54.157999,-6.321231
BT342GD,54.181757,-6.325935
BT342NS,54.164038,-6.303378
BT342RH,54.215508,-6.281507
BT342SA,54.162307,-6.213605
BT342TQ,54.145311,-6.166383
BT342WW,54.173948,-6.327767
BT343GU,54.101672,-6.199487
BT343LJ,54.103458,-6.259802
BT343NP,54.100286,-6.249295
BT343QW,54.138568,-6.219646
BT343RD,54.147992,-6.261301
BT343TA,54.099734,-6.202078
BT343UU,54.129304,-6.26087
BT344BL,54.059374,-6.002963
BT344DR,54.065185,-6.009848
BT344DW,54.064188,-6.009866
BT344FQ,54.065456,-6.011531
BT344FT,54.082762,-5.947358
BT344FW,54.104254,-5.910746
BT344FZ,54.082762,-5.947358
BT344GS,54.069624,-5.983773
BT344LF,54.055326,-6.061451
BT344NZ,54.076912,-5.960544
BT344TS,54.10783,-5.896835
BT344XE,54.110672,-5.932216
BT344ZE,54.145311,-6.166383
BT344ZF,54.145311,-6.166383
BT345BE,54.191011,-6.242029
BT345BG,54.21488,-6.256575
BT345BY,54.257132,-6.213972
BT345DB,54.261855,-6.204068
BT345EE,54.226249,-6.150119
BT345HQ,54.239044,-6.101656
BT345JW,54.22774,-6.011925
BT345NR,54.270136,-6.161554
BT345PR,54.255525,-6.15266
BT345QT,54.239181,-6.15971
BT345TW,54.183165,-6.183768
BT345XJ,54.193431,-6.071432
BT350BB,54.20868,-6.563466
BT350HL,54.249317,-6.609384
BT350HQ,54.255787,-6.622823
BT350HS,54.198797,-6.577094
BT350JR,54.126921,-6.590145
BT350LU,54.109048,-6.603825
BT350NJ,54.127247,-6.508945
BT350PA,54.190918,-6.576384
BT350QZ,54.170548,-6.553579
BT350RF,54.181673,-6.568798
BT356BD,54.177613,-6.341373
BT356BP,54.175412,-6.339409
BT356DP,54.182771,-6.340079
BT356EJ,54.180923,-6.349482
BT356LE,54.197313,-6.368029
BT356ND,54.245691,-6.41403
BT356NE,54.252336,-6.412425
BT356NN,54.224289,-6.39366
BT356NW,54.221543,-6.388554
BT356RH,54.297301,-6.422445
BT356TA,54.303897,-6.37383
BT356TJ,54.27341,-6.377687
BT356UN,54.127247,-6.508945
BT357AT,54.194743,-6.399434
BT357BL,54.203382,-6.421583
BT357DA,54.195384,-6.39564
BT357EL,54.193209,-6.382838
BT357FD,54.198185,-6.411085
BT357NB,54.199048,-6.384097
BT357NU,54.190654,-6.399125
BT357PY,54.151495,-6.50612
BT358DR,54.18029,-6.351758
BT358DS,54.176949,-6.348598
BT358FD,54.16175,-6.344305
BT358GE,54.169488,-6.351652
BT358HD,54.169436,-6.347826
BT358HJ,54.172194,-6.341269
BT358HQ,54.086662,-6.371199
BT358LP,54.14249,-6.33935
BT358LS,54.121503,-6.391032
BT358NS,54.133662,-6.321542
BT358NU,54.155457,-6.34797
BT358NW,54.14908,-6.340295
BT358NX,54.111824,-6.323786
BT358QR,54.149115,-6.340217
BT358WF,54.165531,-6.340078
BT358WN,54.165719,-6.338909
BT359AB,54.077762,-6.609153
BT359DF,54.07573,-6.605843
BT359TJ,54.137018,-6.487929
BT359TL,54.137018,-6.487929
BT359UJ,54.168761,-6.454599
BT359UR,54.170111,-6.460383
BT359WA,54.162999,-6.461428
BT364QR,54.685543,-6.036995
BT365BL,54.696284,-5.94573
BT365DZ,54.672344,-5.959807
BT365FZ,54.673452,-5.961008
BT365JN,54.691051,-5.959303
BT365NJ,54.692332,-5.950025
BT365NL,54.692916,-5.949515
BT365PZ,54.694004,-5.955592
BT365QJ,54.694004,-5.955592
BT365SR,54.686268,-5.963901
BT366AD,54.67874,-5.916458
BT366BG,54.67515,-5.915619
BT366JP,54.677191,-5.954184
BT366JW,54.677521,-5.955625
BT366QH,54.679182,-5.952347
BT366RE,54.684708,-5.959311
BT366RY,54.689135,-5.950667
BT366SG,54.685553,-5.954539
BT366TQ,54.694425,-5.940457
BT366UA,54.691811,-5.93572
BT366WL,54.694658,-5.939918
BT366XJ,54.681233,-5.918765
BT366XR,54.693358,-5.943769
BT367AS,54.674983,-5.967675
BT367BY,54.650968,-5.919089
BT367DG,54.644456,-5.921296
BT367JH,54.648378,-5.932577
BT367LR,54.667472,-5.931622
BT367LS,54.667824,-5.933294
BT367PN,54.657808,-5.943442
BT367PQ,54.649475,-5.934752
BT367QH,54.659895,-5.921453
BT367QZ,54.665655,-5.949974
BT367TS,54.669842,-5.957964
BT367XU,54.665297,-5.973026
BT368AG,54.681162,-5.956822
BT368AJ,54.679858,-5.954096
BT368DF,54.675077,-5.974337
BT368JT,54.68171,-5.962687
BT368LH,54.681322,-5.961001
BT368NH,54.692178,-5.949443
BT368NN,54.6941,-5.952542
BT368QD,54.667385,-6.008977
BT368SE,54.706876,-5.957856
BT368UQ,54.688942,-5.959998
BT368WZ,54.697026,-5.949199
BT368YB,54.678944,-5.996162
BT368ZA,54.68449,-5.973093
BT370AF,54.677234,-5.904399
BT370DR,54.677234,-5.904399
BT370FG,54.685653,-5.87786
BT370FQ,54.671396,-5.899611
BT370GY,54.677795,-5.900257
BT370HB,54.688053,-5.911003
BT370HU,54.687533,-5.908967
BT370NR,54.687347,-5.89874
BT370PB,54.688153,-5.894418
BT370PE,54.689183,-5.894768
BT370QZ,54.686775,-5.894753
BT370RJ,54.680151,-5.890522
BT370SL,54.675902,-5.893688
BT370SN,54.676982,-5.892733
BT370SS,54.679773,-5.888913
BT370TY,54.675283,-5.896325
BT370WP,54.693988,-5.89258
BT370ZU,54.677234,-5.904399
BT379BJ,54.663366,-5.918517
BT379BZ,54.664288,-5.919353
BT379DT,54.663007,-5.929555
BT379EP,54.667334,-5.920811
BT379LE,54.671499,-5.920162
BT379LP,54.671052,-5.915581
BT379QF,54.665317,-5.907629
BT379QW,54.669079,-5.913202
